"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","JORDBRUK, TOTALT",..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",1097.7
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",36.6
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",36.6
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",36.6
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",36.6
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","AVFALL, TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","INDUSTRI, TOTALT",36.1
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","JORDBRUK, TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",0.5
